"spcnm","highestCqLOD","intsCqLODline","lod","loq","efficiency","amplFact","intc2","slope","qpcrno"
"Abramis_brama","38.31","38.041","30","30","93.52","1.93520199098616","43.1925537543938","-3.49","647"
"Bufo_bufo","40.61","40.016","30","30","75.26","1.75256815561525","46.077870938082","-4.1","640"
"Bufo_calamita","40.03","38.977","30","30","89.33","1.89333128107015","44.3056899509657","-3.61","757"
"Bufo_viridis","39.62","39.901","30","30","96.8","1.96800506729901","44.92481882927","-3.4","757"
"Carassius_carassius","40.84","41.297","3","30","87.62","1.87619037989877","43.0433858353582","-3.66","647"
"Emys_orbicularis","49.81","50.264","3","30","102.43","2.02429564529091","51.8222470239223","-3.27","758"
"Hyla_arborea","39.63","39.117","30","30","78.36","1.78358625573018","44.994614585345","-3.98","757"
"Ichthyosaurus_alpestris","41.02","40.223","30","30","67.61","1.67614179063661","46.808081532504","-4.46","640"
"Ichthyosaurus_alpestris","42.07","41.366","3","30","105.14","2.05141708023034","42.8947465581583","-3.2","647"
"Lissotriton_vulgaris","38.95","42.733","3","30","80.24","1.80242466270443","44.5979904667266","-3.91","641"
"Lissotriton_vulgaris","36.21","33.891","3000","30","80.33","1.8033171850825","47.4701316639179","-3.91","646"
"Pelobates_fuscus","41.14","40.629","3","30","102.86","2.02857278049032","42.1821243616418","-3.26","758"
"Pelophylax_ridibundus","42.51","40.375","3","30","77.35","1.77346082444948","42.2924282485755","-4.02","640"
"Rana_arvalis","44.23","37.335","3","30","105.39","2.05389019540642","38.8612783658959","-3.2","641"
"Rana_arvalis","49.82","55.414","30","30","38.46","1.38461097249959","65.8653769761526","-7.08","646"
"Rana_dalmatina","39.94","39.509","30","30","87.84","1.87841567838507","44.9044005797467","-3.65","758"
"Rana_lessonae","33.22","37.678","3","30","135.77","2.35769203431072","38.959079036325","-2.68","640"
"Rana_temporaria","49.24","43.356","3","30","74.77","1.74768161695046","45.3233278002479","-4.12","641"
"Rana_temporaria","40.98","40.632","3","30","92.28","1.9227818264579","42.3124642495577","-3.52","646"
"Rutilus_rutilus","41.17","43.137","3","30","92.55","1.92550094908383","44.8133332932491","-3.51","647"
"Triturus_cristatus","41.14","39.075","30","30","99.78","1.99780981350523","43.9893335220155","-3.33","758"
